include,date,State,complete,version,type,imageID
Y,5/4/2020,MD,completed ,old,TL,04MAY203016493000E000
Y,5/4/2020,MD,completed ,old,TL,04MAY203016493000E000
Y,5/4/2020,VA,completed ,new,SV,04MAY204016493000E000
Y,5/4/2020,VA,completed ,new,SV,04MAY204016493000E000
Y,5/4/2020,VA,completed ,new,SC,04MAY204016493000E000
Y,5/4/2020,VA,not completed,new,SC,04MAY203016493000E000
Y,5/6/2020,MD,completed ,new,NS,06MAY203016493000N000
Y,5/6/2020,MD,completed ,new,LS,06MAY203016493000N000
Y,5/6/2020,MD,completed ,new,NS,06MAY205016493000N000
Y,5/9/2021,DE,completed ,old,HA,09MAY217016243000L000
Y,5/9/2021,DE,completed ,old,HA,09MAY217016243000L000
Y,5/9/2021,DE,completed ,old,HA,09MAY218016243000L000
Y,5/9/2021,DE,completed ,old,HA,09MAY218016243000L000
Y,5/10/2021,DE,not completed,old,HA,10MAY217016243005L000
Y,5/10/2021,DE,not completed,old,HA,10MAY217016243003L000
Y,5/10/2021,DE,not completed,old,HA,10MAY218016243009L000
Y,5/10/2021,DE,not completed,old,HA,10MAY218016243001L000
