include,date,State,complete,version,type,unique_ID
Y,5/4/2020, MD, completed, old, TL, 04MAY2022121434E00
Y,5/4/2020, MD, completed, old, TL, 04MAY2022121434E00
Y,5/4/2020, MD, completed, old, TC, 04MAY2022121434E00
Y,5/4/2020, VA, not completed, new, SX, 04MAY2022121334E00
Y,5/4/2020, VA, not completed, new, SV, 04MAY2022121434N00
Y,5/4/2020, VA, completed, new, SC, 04MAY2022321434N00
Y,5/4/2020, VA, not completed, new, SC, 04MAY2022321434N00
Y, 5/5/2020, PA, completed, old, TL, 05MAY2022121434E00
Y, 5/5/2020, PA, completed, old, TL, 05MAY2022121434E00
Y, 5/5/2020, PA, completed, old, TC, 05MAY2022121435E01
