,Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group,Unnamed: 8
0,CBSA,Geography,,not required,,0,(not a predicate),,
1,EMP,Number of employees,"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",not required,EMP_F,0,int,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
2,EMP_S,Relative standard error of number of employees (%),"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",not required,EMP_S_F,0,float,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
3,EMPSZFI,Employment size of firms code,"Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",default displayed,EMPSZFI_LABEL,0,string,AB1800CSA04,
4,ETH_GROUP,Ethnicity code,"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",default displayed,ETH_GROUP_LABEL,0,string,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
5,FIRMPDEMP,Number of employer firms,"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",not required,FIRMPDEMP_F,0,int,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
6,FIRMPDEMP_S,Relative standard error of employer firms (%),"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",not required,FIRMPDEMP_S_F,0,float,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
7,for,Census API FIPS 'for' clause,Census API Geography Specification,predicate-only,,0,fips-for,,
8,GEO_ID,Geographic identifier code,"Annual Business Survey: Statistics for Employer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Years in Business Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Receipts Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018;Annual Business Survey: Employment Size of Firm Statistics for Employer Firms by Sector, Sex, Ethnicity, Race, and Veteran Status for the U.S., States and Metro Areas: 2018",not required,"GEO_ID_F,  NAME",0,string,"AB1800CSA03,  AB1800CSA04,  AB1800CSA01,  AB1800CSA02",
9,GEOCOMP,GEO_ID Component,,default displayed,,0,string,,
10,in,Census API FIPS 'in' clause,Census API Geography Specification,predicate-only,,0,fips-in,,
