,MCR Name,Summary,text,What,When,Who
0,PSDR - Advertising and Solicitation - Disclosures - Lending Products - Identification of Solicitor,Test,,False,False,False
1,PSDR - Contracts - Arbitration and Alternative Dispute Resolution,"Cluster: PSDR - Contracts - Arbitration and Alternative Dispute Resolution
Covered States: CA, CO, CT, DC, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, NC, NY, OK, PR, SC, TN, UT, VA, VT, WA, WI

Wells Fargo must abide by certain state specific requirements when including an arbitration clause in agreements pertaining to the sale or offering of:

1. High-cost home loans,
2. Non-prime loans,
3. Mortgage loans and
4. Other specialized loans

Generally Applicable Supporting Citations: 7 Tex. Admin. Code § 90.302(24).    

Additional State-Specific Restrictive Requirements:
1. High-Cost Home Loans
a.  In AR and NY, Wells Fargo cannot use an arbitration clause that is oppressive or that limits the relief of the borrower against any party to a high-cost home loan. (AR, NY) Ark. Code Ann. § 23-53-104(j); N.Y. Banking Law § 6-l(2)(g)
b. In UT, for an arbitration clause to be valid in a high-cost loan agreement, the document must follow the rules of the Utah Uniform Arbitration Act. (UT) Utah Code Ann. § 61-2d-106

2. Non-Prime Loans
a. In CT, Wells Fargo cannot require arbitration for a non-prime loan that (1) is not consistent with CT statutes or common law, (2) is less convenient for the borrower, or (3) limits any claim or defense the borrower has. (CT) Conn. Gen. Stat. § 36a-760e(a)(2)
b. In IL and NY, a high-risk loan with a mandatory arbitration clause that is deemed unconscionable is void. (IL, NY) 815 Ill. Comp. Stat. 137/130; N.Y. Banking Law § 6-m(2)(f)

3. Mortgage Loans
a. In MD and D.C., Wells Fargo must include state specific disclosures when a mortgage loan requires the borrower to undergo binding arbitration as dispute resolution. D.C. has the most restrictive rule and requires the disclosure be provided to the borrower at least 3 days prior to the loan closing. (MD, D.C.) Md. Code Regs. 09.03.10.03(A),(B)(3); D.C. Mun. Regs. tit. 26-C, § Appendix Form 1(17).
b. In WV, Wells Fargo must abide by the provisions of federal law to include a term of arbitration for any mortgage loan agreement. (WV) W. Va. Code § 46A-4-109(5)(G)(1)

4. Other Specialized Loans
a. In MN, Wells Fargo is prohibited from requiring binding arbitration to the borrower of a PACE loan. (MN) Minn. Stat. § 216C.437(16)(c)(4)
b. In NM, Wells Fargo is prohibited from unreasonably restricting the right to notice of the initiation of an arbitration proceeding in a loan or other agreement. (NM) N.M. Stat. Ann. § 44-7A-4(b)and(c)
c. In UT, Wells Fargo may add an arbitration clause to any open-ended consumer agreement. (UT) Utah Code Ann. § 70C-4-102(2)(b)",wells fargo must abide by certain state specific requirements when including an arbitration clause in agreements pertaining to the sale or offering of:,True,True,True
2,"PSDR - Contracts - Contract Terms, Notices and Acknowledgments - Waivers","Cluster: PSDR - Contracts - Contract Terms, Notices and Acknowledgments – Waivers

MCR0001007

Covered States: AK, CA, CO, DC, DE, GA, IA, ID, IL, IN, LA, MD, ME, MI, MN, MO, ND, NJ, NY, OH, OK, OR, PA, RI, SC, UT, VA, WA, WI, WV.

REQUIREMENT I 

When providing a loan or offering certain products or services listed below, Wells Fargo must not require the consumer to waive any available legal remedies, claims, defenses, or rights of action against Wells Fargo. 

1. Lending Product (loans, lines and leases) - Asset Based Loans
2. Lending Product (loans, lines and leases) - Commercial Credit Cards
3. Lending Product (loans, lines and leases) - Commercial Real Estate Loans
4. Lending Product (loans, lines and leases) - Consumer Credit Cards
5. Lending Product (loans, lines and leases) - Consumer Other Loans/Lines
6. Lending Product (loans, lines and leases) - Consumer Real Estate
7. Lending Product (loans, lines and leases) - Non-Consumer Loans/Lines
8. Lending Product (loans, lines and leases) - Other 
9. Commercial/Wholesale Loans & LOC
10. Lending Product (loans, lines and leases) - Retail Broker Dealer - Products
11. Lending Product (loans, lines and leases) - Structured Products
12. Lending Product (loans, lines and leases) - Trade Finance
13. Other Services - Retail Broker Dealer  -  Services, Tools, & Apps

Generally Applicable Supporting Citations:

Alaska Stat. § 45.10.150; Cal. Civ. Code § 2986.3(b); Cal. Fin. Code § 22370(j)(1); Cal. Fin. Code § 22370(k); Del. Code Ann. tit. 6, § 4302; Del. Code Ann. tit. 6, § 4302; Ga. Code Ann. § 10-1-684(3); Iowa Code § 537.3404(4); Idaho Code § 28-41-106(1)(4)(5); Idaho Code § 48-1007(4); 205 Ill. Comp. Stat. 675/9; Ind. Code § 24-4.5-1-107(1); Me. Stat. tit. 9-A, § 1-107(1), (4); Mich. Comp. Laws § 492.114(d); Minn. Stat. § 325G.16(2)(e); Minn. Stat. § 550.42(1), (2); Mo. Rev. Stat. § 408.560(5); N.J. Stat. Ann. § 17:11C-79(e); Ohio Rev. Code Ann. § 1321.41(G); Okla. Stat. tit. 14A, § 1-107; Or. Rev. Stat. § 83.670(3); 12 Pa. Cons. Stat. § 6305(b)(4); 42 Pa. Cons. Stat. § 8103(e); 7 Pa. Cons. Stat. § 6124; R.I. Gen. Laws § 19-14.1-5(c); R.I. Gen. Laws § 19-14.2-5(c); R.I. Gen. Laws § 31-5.2-8; R.I. Gen. Laws § 31-5.4-4(a),(c) and (d); Wis. Stat. § 224.79(3)(f); Wis. Stat. § 422.407(4); Wis. Stat. § 422.419(1)(b); W. Va. Code § 46A-4-109(5)(G).

Additional State-Specific Restrictive Requirements:
1. Consumer Lending 

(a) When brokering a consumer loan, Wells Fargo must assume additional legal duties that cannot be waived or modified by the consumer, including: acting in good faith and fair dealing; safeguarding and accounting for funds handled for the borrower; following reasonable and lawful instructions from the borrower; exercising reasonable skill, care, and diligence; timely and clearly disclosing material information that might reasonably borrower’s rights and interests, including how much compensation Wells Fargo would receive as a broker from any of the loan options offered to the borrower; and making reasonable efforts to secure a loan advantageous to the borrower in light of all circumstances including rates, charges, and repayment terms. (ME) Me. Stat. tit. 9-A, § 10-303-A.

(b) Wells Fargo must not include contract terms containing a confession of judgment by the consumer or borrower, or authorizing any power of attorney to confess judgment on behalf of the consumer or borrower. (NJ, MD) N.J. Stat. Ann. § 17:3B-13; Md. Code Ann., Com. Law § 12-1023(b)(2).

2. Debt Collection  

(a) Wells Fargo must not include contract terms that require a consumer debtor to waive his or her right to notice or an opportunity to be heard before Wells Fargo commences an action for seizure of the consumer debtor’s property securing the transaction (i.e., replevin). (MD) Md. Code Ann., Com. Law § 13-1303(b).


REQUIREMENT II

In addition, with respect to the services and products below, Wells Fargo must allow a consumer to waive certain notices, requirements, applicable waiting periods provided that such waiver by the consumer is made in writing.

1. Lending Product (loans, lines and leases) - Asset Based Loans
2. Lending Product (loans, lines and leases) - Commercial Credit Cards
3. Lending Product (loans, lines and leases) - Commercial Real Estate Loans
4. Lending Product (loans, lines and leases) - Consumer Credit Cards
5. Lending Product (loans, lines and leases) - Consumer Other Loans/Lines
6. Lending Product (loans, lines and leases) - Consumer Real Estate
7. Lending Product (loans, lines and leases) - Non-Consumer Loans/Lines
8. Lending Product (loans, lines and leases) - Other 
9. Commercial/Wholesale Loans & LOC
10. Lending Product (loans, lines and leases) - Retail Broker Dealer - Products
11. Lending Product (loans, lines and leases) - Structured Products
12. Lending Product (loans, lines and leases) - Trade Finance
13. Other Services - Retail Broker Dealer  -  Services, Tools, & App

Generally Applicable Supporting Citations: 
D.C. Code § 28-3803(2); La. Rev. Stat. Ann. § 13:4108.2(A); N.Y. Banking Law § 6-l(t); Okla. Admin. Code § 160:45-5-7(e); S.C. Code Ann. § 22-3-1360; Va. Code Ann. § 6.2-107.

Additional State-Specific Restrictive Requirements:
1. Consumer Lending – Waiver of Waiting Periods

In a consumer loan transaction, Wells Fargo must allow a consumer to modify or waive the applicable waiting period between the delivery of disclosures and consummation of the loan, if the consumer provides a signed, written statement explaining that the extension of credit is necessary to meet a bona fide financial emergency. (OH, OK) Ohio Rev. Code Ann. § 1349.26(D)(2); Okla. Admin. Code § 160:45-5-7(e); Okla. Admin. Code § 160:45-9-1(c)(1)(C); Okla. Stat. tit. 14A, § 3-310(6).

2. Debt Collection

(a) Where a consumer has defaulted on a credit transaction, Wells Fargo must not enforce a security interest on a consumer’s goods without providing required notices and opportunities to cure such defaults unless the consumer has voluntarily surrendered possession of such goods as collateral. (CO) Colo. Rev. Stat. § 5-5-111.

(b) In a contract for mortgage on a homestead property (more than 40 acres) that is executed after June 30, 1991, and which is not a purchase money contract, Wells Fargo must include the following statement printed in a conspicuous manner: “I understand that homestead property is in many cases protected from the claims of creditors and exempt from judicial sale and that, by signing this contract, I voluntarily give up my right to this protection for this property with respect to claims based upon this contract.” Such statement must be separately signed and dated by the mortgagor indicating that he or she is specifically and knowingly waiving the homestead exemption. (ND) N.D. Cent. Code § 47-18-05.1.

3. Class Action Waivers

(a) In a contract for any open-end or closed-end consumer transaction contract, Wells Fargo must not require the debtor to waive his or her right to engage or participate in a class action lawsuit against Wells Fargo regarding such consumer transaction contract, unless Wells Fargo discloses the waiver to the debtor in writing. If the contract was entered into after August 1, 2006, Wells Fargo must provide such disclosure in a bold type font and all capital letters. (UT) Utah Code Ann. § 70C-3-104; Utah Code Ann. § 70C-4-105.
","when providing a loan or offering certain products or services listed below, wells fargo must not require the consumer to waive any available legal remedies, claims, defenses, or rights of action against wells fargo. ",True,True,True
3,"PSDR - Contracts - Contract Terms, Notices, and Acknowledgments - Other prohibited or restricted provisions - Credit Sale or Lease","Cluster: PSDR - Contracts - Contract Terms, Notices, and Acknowledgments - Other prohibited or restricted provisions - Credit Sale or Lease

MCR 1008

Covered State: WA

For the products listed below, Wells Fargo must not utilize loan agreements that require borrowers to waive any of their rights or claims against the bank, or that secure a credit card loan through a security interest in the borrower’s property. 

1. Lending Product (loans, lines and leases) - Consumer Credit Cards
2. Lending Product (loans, lines and leases) - Consumer Other Loans/Lines
3. Lending Product (loans, lines and leases) - Retail Broker Dealer – Products 

Generally Applicable Supporting Citations:
Wash. Rev. Code § 63.14.125; Wash. Rev. Code § 63.14.150.

Additional State-Specific Restrictive Requirements:
1. Lending Product (loans, lines and leases) - Consumer Credit Cards
a. When issuing a credit card, Wells Fargo cannot utilize or rely on a security interest in real or personal property or fixtures of the buyer to secure payment. (WA) Wash. Rev. Code § 63.14.125
b. Wells Fargo may not (1) require the buyer to waive a claim or defense against the Bank; or (2) require the buyer to bring any related lawsuit in a county different than the county where the buyer signed the contract or where the buyer lives. (WA) Wash. Rev. Code § 63.14.150

2. Lending Product (loans, lines and leases) - Consumer Other Loans/Lines and Lending Product (loans, lines and leases) - Retail Broker Dealer – Products 
a. In retail installment or retail charge agreements Wells Fargo may not (1) require the buyer to waive a claim or defense against the Bank; or (2) require the buyer to bring any related lawsuit in a county different than the county where the buyer signed the contract or where the buyer lives. (WA) Wash. Rev. Code § 63.14.150","for the products listed below, wells fargo must not utilize loan agreements that require borrowers to waive any of their rights or claims against the bank, or that secure a credit card loan through a security interest in the borrower’s property. ",True,True,True
4,"PSDR - Contracts - Contract Terms, Notices, and Acknowledgments - Waivers - Debtor May Waive Right of Redemption after Default (U.C.C. § 9-624 State Variation)","MCR 1010

Wells Fargo must enter into an authenticated agreement after default for a debtor to effectively waive the right to redeem collateral.

Covered States: IL, ND

For the products listed below:
1. Lending Product (loans, lines and leases) - Asset Based Loans;
2. Lending Product (loans, lines and leases) - Commercial Credit Cards;
3. Lending Product (loans, lines and leases) - Commercial Real Estate Loans;
4. Lending Product (loans, lines and leases) - Non-Consumer Loans/Lines; 
5. Lending Product (loans, lines and leases) - Other Commercial/Wholesale Loans & LOC 

Generally Applicable Supporting Citations:
810 Ill. Comp. Stat. 5/9-624(c); N.D. Cent. Code § 41-09-119 (2).
",wells fargo must enter into an authenticated agreement after default for a debtor to effectively waive the right to redeem collateral.,True,True,True
5,"PSDR - Contracts - Contract Terms, Notices, and Acknowledgments - Waivers - Debtor May Waive Right to Require Disposition of Collateral Only after Default (U.C.","Covered States: AK, AL, AK, AZ, CA, CO, CONN, DC, DEL, FLA, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NB, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI SC, SD, TN, TX, UT, VA, VT, WA, WI, W.VA, WY 

When disposing of collateral of the below consumer products, Wells Fargo must provide an agreement entered into and authenticated after a debtor's or secondary obligor's default before acknowledging any consumer's waiver of notification of the disposition of collateral or any consumer's waiver requiring the disposition of collateral.  In consumer goods transactions, a debtor or secondary obligor cannot waive the right to redeem collateral by an agreement.  In non-consumer good transaction, a debtor or secondary obligor can waive the right to redeem collateral by an agreement entered into and authenticated after default. 

1. Lending Product (loans, lines and leases) - Asset Based Loans 
2. Lending Product (loans, lines and leases) - Commercial Real Estate Loans
3. Lending Product (loans, lines and leases) - Consumer Other Loans/Lines 
4. Lending Product (loans, lines and leases) - Consumer Real Estate 
5. Lending Product (loans, lines and leases) - Non-Consumer Loans/Lines 
6. Lending Product (loans, lines and leases) - Other Commercial/ Wholesale Loans & LOC 
7. Lending Product (loans, lines and leases) - Retail Broker Dealer- Products 
8. Lending Product (loans, lines and leases) - Structured Products
9. Lending Product (loans, lines and leases) - Trade Finance 

Generally Applicable Supporting Citations: 
Alaska Stat. § 45.29.624; Ala. Code § 7-9A-624; Ark. Code Ann. § 4-9-624;  Ariz. Rev. Stat. § 47-9624; Cal. Com. Code § 9624; Colo. Rev. Stat. § 4-9-624; Conn. Gen. Stat. § 42a-9-624;  D.C. Code § 28:9-624; Del. Code Ann. tit. 6, § 9-624; Fla. Stat. § 679.624; Ga. Code Ann. § 11-9-624; Haw. Rev. Stat. § 490:9-624; Iowa Code § 554.9624; Idaho Code § 28-9-624; 810 Ill. Comp. Stat. 5/9-624; Ind. Code § 26-1-9.1-624; Kan. Stat. Ann. § 84-9-624;  Ky. Rev. Stat. Ann. § 355.9-624; La. Rev. Stat. Ann. § 10:9-624; Mass. Gen. Laws ch. 106, § 9-624; Md. Code Ann., Com. Law § 9-624; Me. Stat. tit. 11, § 9-1624; Mich. Comp. Laws § 440.9624; Minn. Stat. § 336.9-624; Mo. Rev. Stat. § 400.9-624; Miss. Code Ann. § 75-9-624; Mont. Code Ann. § 30-9A-624; N.C. Gen. Stat. § 25-9-624; Neb. Rev. Stat. UCC § 9-624; N.H. Rev. Stat. § 382-A:9-624; N.J. Stat. Ann. § 12A:9-624; N.M. Stat. Ann. § 55-9-624; Nev. Rev. Stat. § 104.9624; N.Y. U.C.C. Law § 9-624; Ohio Rev. Code Ann. § 1309.624; Okla. Stat. tit. 12A, § 1-9-624; Or. Rev. Stat. § 79.0624; 13 Pa. Cons. Stat. § 9624; 19 L.P.R.A. § 2384; R.I. Gen. Laws § 6A-9-624; S.C. Code Ann. § 36-9-624; S.D. Codified Laws § 57A-9-624; Tenn. Code Ann. § 47-9-624; Tex. Bus. & Com. Ann. § 9.624; Utah Code Ann. § 70A-9a-624; Va. Code Ann. § 8.9A-624; Vt. Stat. Ann. tit. 9A, § 9-624; Wash. Rev. Code § 62A.9A-624; Wis. Stat. § 409.624; W. Va. Code § 46-9-624; Wyo. Stat. Ann. § 34.1-9-624
Additional State-Specific Requirements: None

","when disposing of collateral of the below consumer products, wells fargo must provide an agreement entered into and authenticated after a debtor's or secondary obligor's default before acknowledging any consumer's waiver of notification of the disposition of collateral or any consumer's waiver requiring the disposition of collateral.  in consumer goods transactions, a debtor or secondary obligor cannot waive the right to redeem collateral by an agreement.  in non-consumer good transaction, a debtor or secondary obligor can waive the right to redeem collateral by an agreement entered into and authenticated after default. ",True,True,True
6,"PSDR - Contracts - Contract Terms, Notices, and Acknowledgments - Waivers - Secondary Obligor May Waive Right of Redemption after Default (U.C.C. § 9-624 State","Cluster: PSDR - Contracts - Contract Terms, Notices, and Acknowledgments - Waivers - Secondary Obligor May Waive Right of Redemption after Default (U.C.C. § 9-624 State Variation)

MCR 20

Covered States: IL, ND

When engaged in the sale, lease, or other offering of the below consumer product or service, Wells Fargo can allow a secondary obligor to waive the right to redeem collateral only if the agreement is entered into and authenticated after default.

1. Lending Product (loans, lines and leases) - Asset Based Loans;
2. Lending Product (loans, lines and leases) - Commercial Credit Cards;
3. Lending Product (loans, lines and leases) - Commercial Real Estate Loans;
4. Lending Product (loans, lines and leases) - Consumer Credit Cards;
5. Lending Product (loans, lines and leases) - Consumer Other Loans/Lines;
6. Lending Product (loans, lines and leases) - Consumer Real Estate;
7. Lending Product (loans, lines and leases) - Non-Consumer Loans/Lines;
8. Lending Product (loans, lines and leases) - Other Commercial/Wholesale Loans & LOC;
9. Lending Product (loans, lines and leases) - Retail Broker Dealer - Products;
10. Lending Product (loans, lines and leases) - Structured Products; and
11. Lending Product (loans, lines and leases) - Trade Finance.


Generally Applicable Supporting Citations:

810 Ill. Comp. Stat. 5/9-624(c); N.D. Cent. Code § 41-09-119 (2)","when engaged in the sale, lease, or other offering of the below consumer product or service, wells fargo can allow a secondary obligor to waive the right to redeem collateral only if the agreement is entered into and authenticated after default.",True,True,True
7,PSDR - Contracts - Credit Card Access for Open-end Loans,"Wells Fargo cannot provide credit cards for all types of open-end loans and must meet certain criteria when offering and managing credit cards. 

Covered States: NV, SC, TX 

Consumer and Commercial Credit Cards 

In NV, a borrower may obtain periodic cash advances from the lender by credit card. Under that agreement, Wells Fargo must establish an open-end account for the borrower, interest and other charges must be computed periodically on the unpaid balance of the account, and Wells Fargo cannot charge a prepayment penalty. Nev. Rev. Stat. § 675.361. 

In SC, Wells Fargo cannot impose charges that are not statutorily authorized. Wells Fargo can, in addition to the credit service charge permitted, charge for official fees and taxes, insurance written in connection with the transaction, and an assumption fee if Wells Fargo is also assuming an existing obligation of the debtor. S.C. Code Ann. § 37-2-202.

In TX, Wells Fargo cannot issue a credit card or similar device to a homeowner as a means of providing a HELOC advance. 7 Tex. Admin. Code § 153.84
",wells fargo cannot provide credit cards for all types of open-end loans and must meet certain criteria when offering and managing credit cards. ,True,True,True
8,PSDR - Contracts - Required Terms and Provisions - Insurance,"Cluster: PSDR - Contracts - Required Terms and Provisions - Insurance

MCR 1015

Covered States: CT, FL, IA, KS, MI, MO, MS, TX

When issuing insurance policies, Wells Fargo must include all essential terms and provisions of the policy including: the name of parties to the contract, the nature of the policy, the extent of coverage, the premium, conditions pertaining to the insurance, and the effective date and expiration date of the policy. 

1. Insurance Products

Generally Applicable Supporting Citations: Conn. Agencies Regs. § 38a-288-4; Fla. Stat. § 627.413; Iowa Code § 537.3207; Kan. Stat. Ann. § 40-2609; Mich. Admin. Code r. 493.15; Mo. Rev. Stat. § 427.125; 05-000-003 Miss. Code R. § 1.4; Tex. Fin. Code Ann. § 307.052.

Additional State Specific Restrictive Requirements:

1.  Insurance Products
     a. Wells Fargo insurance policies must specify the risks insured against, and the form numbers and editions dates/numeric codes of any endorsements attached to a policy.  If a premium is determinable at stated intervals or termination of the contract, Wells Fargo must provide a statement as to how the rate  is to be determined and paid. These requirements and those listed above do not apply to surety contracts and group policies. (FL) Fla. Stat. § 627.413(1)-(3)  

     b. Wells Fargo insurance policies must include a provision that provides clear and conspicuous notice that each policy or contract may be canceled if payment is not made in accordance with the agreement. (IA) Iowa Code § 537.3207

     c. Wells Fargo premium finance agreements must be dated and signed by or on behalf of the insured, with printed portions of the agreement in at least 8-point type, and both the insured and the negotiating insurance agent must be identified by name and place of business or residence. (KS) Kan. Stat. Ann. § 40-2609(a)

     d. Wells Fargo insurance policies associated with loans must be furnished to the borrower within 15 days of the loan. (MI) Mich. Admin. Code r. 493.15(1)

     e. A Fees for Wells Fargo personal property insurance policies must not exceed the sum of payments to be paid by the borrower to the lender or the contractual terms of a loan. (MS) Miss. Code R. § 1.4

      f. The terms for repayment of costs collateral protection coverage must include: full amortization over the term of the credit transaction, a final balloon payment within 30 days of the last scheduled payment, and 
              i. full payment within 30 days of the Notice of Placement of Insurance (MO) (Mo. Rev. Stat. § 427.125(3); or
             ii. any other repayment terms agreed to by the debtor in the original transaction (TX) Tex. Fin. Code Ann. § 307.052(g)
","when issuing insurance policies, wells fargo must include all essential terms and provisions of the policy including: the name of parties to the contract, the nature of the policy, the extent of coverage, the premium, conditions pertaining to the insurance, and the effective date and expiration date of the policy. ",True,True,True
9,PSDR - Contracts - Transferability and Assignment - Required Contract Provisions and Disclosures,"Cluster: PSDR - Contracts - Transferability and Assignment - Required Contract Provisions and Disclosures

MCR0001016

Covered States: AR, CA, DC, GA, HI, IA, ID, IL, KS, LA, MD, ME, NY, OK, PA, TN, TX, UT, WI, WV 

When engaged in the transfer or assignment of accounts and mortgages, Wells Fargo must provide state-specific disclosures or, in the case of mortgages, notices to the mortgagor with the required RESPA information. The written notice or disclosure must be provided to certain individuals and through prescribed delivery methods and timeframes.
","when engaged in the transfer or assignment of accounts and mortgages, wells fargo must provide state-specific disclosures or, in the case of mortgages, notices to the mortgagor with the required respa information. the written notice or disclosure must be provided to certain individuals and through prescribed delivery methods and timeframes.",True,True,True
