,Démarche,Date,Identifiant,Satisfaction,Verbatim,Facilité,Simplicité,Difficulté,Autre difficulté,Aide,Autre aide,Source
0,Simuler mes droits sociaux,2021/07/08 02:10:01,3729140,Moyen,Ajouter prime d'activité afin de faire la simulation ,Bon,Bon,Autre,Pas assez de simulation tel que la prime d'activité ,Autre,Prime d'activité ,button
1,Simuler mes droits sociaux,2021/07/07 23:26:57,3728819,Pas bien,"en mettant 4 millions d'euros de revenus, la simulation me proposait plus de 900€ d'aides mensuelles. Je crois que c'est complètement faux. Attention : vous allez créer de l'espoir chez des personnes qui vont énormément souffrir du mensonge du résultat sur votre site.",Bon,Bon,-,-,-,-,button
2,Simuler mes droits sociaux,2021/07/07 18:52:48,3726835,Moyen,"Bonjour, je me suis trouvée désemparée pour inscrire les mensualités mensuelles des 12 derniers mois de mes retraites d'autant que j'ai plusieurs caisses, et entre le brut, le net et l'imposable, difficile de s'y retrouver, et n'ai pas réuni cela avant de commencer.",Moyen,Bon,"Manque d'informations avant de commencer la démarche ; Difficulté à joindre les pièces justificatives ; Manque d'informations sur la suite, le délai...",-,"Internet (site, forum…)",-,button
3,Simuler mes droits sociaux,2021/07/07 16:22:29,3725227,Moyen,Bonjour pourquoi n a je pas droit à une mutuelle ainsi que mon chèque énergie merci cordialement ,-,-,-,-,-,-,button
4,Simuler mes droits sociaux,2021/07/07 16:18:52,3725179,Moyen,je ne voudrais pas aller en maison de retraite...Je veux rester chez moi....,Bon,Moyen,Manque d'informations avant de commencer la démarche ; Difficulté à joindre les pièces justificatives,-,-,-,button
5,Simuler mes droits sociaux,2021/07/07 01:07:47,3719668,Très bien,simulateur facile à utiliser et clair,Bon,Bon,-,-,Autre,simulateur de droits,button
6,Simuler mes droits sociaux,2021/07/06 12:19:56,3712757,Moyen,J'ai fait cette démarche par hasard; j'ai besoin d'une attestation de droits à Sécurité  Sociale pour la MGEN;je reviens del'Etranger(ma famille ne peut plus m'héberger)et j'ai cotisé à la CFE et à la Caisse de Seine et Marne comme tous les Français à l'Etranger. La CFE devrait pouvoir me fournir ce document. Toutes les démarches administratives sont très difficiles à mon âge!...Un Neveu à Reims m'aide beaucoup.,Bon,Bon,Manque d'informations avant de commencer la démarche,-,-,-,button
7,Simuler mes droits sociaux,2021/07/06 11:07:56,3711745,Moyen,"Je n'ai jamais eu besoin de vos services jusqu'à présent. Je galère depuis mon accident de travail, après un refus de poursuivre mon travail par la médecine du travail alors que la CPAM me disait apte à reprendre, et une contestation auprès de la CPAM, ayant des explications contradictoires , je mes trouve en difficulté financière, depuis décembre 2020.  Aujourd'hui, je viens d'obtenir la retraite par inaptitude mais insuffisante pour survivre. Il me faut faire une demande auprès de l'ASPA et diverse caisse : mutuelle, CAF... J'ai beaucoup de difficulté pour faire ses démarches comme le prouve les problèmes que j'ai rencontré ces derniers mois sans avoir réussir à les résoudre... Cordialement",-,-,"Manque d'informations avant de commencer la démarche ; Manque d'informations sur la suite, le délai...",-,Un agent administratif,-,button
8,Simuler mes droits sociaux,2021/07/06 09:46:08,3710622,Très bien,"UNE FOIS LA SIMULATION FAITE, JE PENSE QUE JE DOIS ALLER SUR LE SITE DE LA CAF ?",Bon,Bon,Autre,IL NE ME RESTE QU'A FAIRE LA DEMANDE,Autre,JE VAIS ME RENDRE SUR LE SITE DE LA CAF,button
9,Simuler mes droits sociaux,2021/07/06 00:24:38,3709171,Pas bien,Depuis que je suis a la retraite je n ai plus D APL et mes revenus ont baissé pourquoi ? ,-,Bon,"Manque d'informations avant de commencer la démarche ; La démarche n'a pas fonctionné ; Manque d'informations sur la suite, le délai...",-,Un agent administratif,-,button
