,file_extension,dataset_type
0,*.ai,AdobeIllustrator
1,*.indd,AdobeInDesign
2,*.bmp,Bitmap_Thumbnail
3,*.bcz,Briefcase
4,*,CAEAnalysisDS
5,*,CAEBC
6,*,CAEConn
7,*.prt,CAEGeom
8,*,CAELoad
9,*.fem,CAEMesh
10,*,CAEResults
11,*.sim,CAESolution
12,*.dat,CAESolver
13,*.xml,CAEStructureMap
14,*.html,CME_Report
15,*.dbc,ClearanceDBConnection
16,*.csv,ClearanceDBReport
17,*.txt,ClearanceResults
18,*.reg,ClearanceResultsFilter
19,*.xsl,CrfExcelStylesheet
20,*.xsl,CrfHtmlStylesheet
21,*.xsl,CrfMSWordDocStylesheet
22,*.xls,CrfOutputExcel
23,*.html,CrfOutputHtml
24,*.doc,CrfOutputMSWord
25,*.pdf,CrfOutputPdf
26,*.txt,CrfOutputText
27,*.xml,CrfOutputXml
28,*.xsl,CrfPdfStylesheet
29,*.xsl,CrfTextStylesheet
30,*.xsl,CrfXmlStylesheet
31,*.txt,DFA_KF
32,*.jt,DirectModel
33,*.vpl,DirectModel3DMarkup
34,*.van,DirectModelAnimation
35,OBJECT,DirectModelAssembly
36,*.pfc,DirectModelFlowChart
37,*.vbk,DirectModelIllustrationBook
38,*.vpi,DirectModelIllustrationSheet
39,*.cgm,DirectModelMarkup
40,*.jt,DirectModelMotion
41,*.vf,DirectModelSession
42,*.cgm,DrawingSheet
43,*.*,ECSnapshot
44,*.xlt,ExcelReportFormatter
45,*.xml,Fnd0ContextMenuSuppRuleXML
46,*.jpg,Fnd0LaunchPadRendering
47,*.xml,Fnd0TcVisFilter
48,*.htm,HTML
49,*,ICSClassFiles
50,*.*,Image
51,*.jpg,JPEG_Thumbnail
52,*.xml,KRX
53,*.*,MEMachineDriver
54,*,MISC
55,*.xls,MSExcel
56,*.xlt,MSExcelTemplate
57,*.xltx,MSExcelTemplateX
58,*.xlsx,MSExcelX
59,*.ppt,MSPowerPoint
60,*.pot,MSPowerPointTemplate
61,*.potx,MSPowerPointTemplateX
62,*.pptx,MSPowerPointX
63,*.doc,MSWord
64,*.dot,MSWordTemplate
65,*.dotx,MSWordTemplateX
66,*.docx,MSWordX
67,*.*,Markup
68,*.afm,NXAFEM
69,*.prt,NXDerived
70,*.sim,NXMotion
71,*.apv,NXRouting
72,*.sim,NXSimulation
73,*.blk,Nastran
74,*.gif,NetworkImage
75,*.pcf,PCF
76,*.pdf,PDF
77,*.pdx,PDX
78,*.png,PNG_Thumbnail
79,*.psd,Photoshop
80,*.hft,PortfolioHFT
81,*.xml,ProgramView
82,*.*,RollupReport
83,*.stl,STL
84,*.tif,Sheet
85,*.xml,SimulationProcessStudio
86,*.jpg,SnapShotViewData
87,*,Spatial_Data
88,*.xml,TCPublishingAliases
89,*.vsd,TCPublishingPage
90,*.vtp,TCPublishingTechnicalPortfolio
91,*.xml,TechnicalPortfolioXML
92,*.dsf,TempDirectModelMarkup
93,*.dsf,TempMarkup
94,*,Text
95,*.prt,UGALTREP
96,*.cls,UGCAMCLSF
97,*.ptp,UGCAMPTP
98,*.htm,UGCAMShopDoc
99,*.dat,UGCAMTemplateData
100,*.roll,UGENGINEROLL
101,*.prt,UGMASTER
102,*.prt,UGPART
103,*.prt,UGSCENARIO
104,*.offset,UGTIREOFFSET
105,*.spindle,UGTIRESPINDLE
106,*.xml,VSAMeasurementDoc
107,*.pdo,VSAProcessDoc
108,*.xml,ValidationResultLog
109,*.vrx,ValidationRuleSet
110,*.env,VisJackEnvironment
111,*.fig,VisJackFigure
112,*.*,VisJackPosture
113,*.pss,VisJackPsurf
114,*.avi,VisMovieCapture
115,*.v3g,VisPublishGeometryAsset
116,*.vsd,VisPublishTechnicalIllustration
117,*.vtp,VisPublishTechnicalPortfolio
118,*.vss,VisPublishVisioStencil
119,*.vst,VisPublishVisioTemplate
120,*.clu,VisQualityCluster
121,*.CGM,Vis_Snapshot_2D_View_Data
122,*.htm,XMLAuditLog
123,*.xml,XMLRenderingStylesheet
124,*.xsl,XMLReportFormatter
125,*.zip,Zip
126,*.zn,Zone
127,*.html,Fnd0ConsentDataset
128,*,FullText
129,*,IPAConfig
130,*.*,VisualReportDefinition
131,*.clp,CLIPS
132,*.bmp,Bitmap
133,*.dxf,DXF
134,*.gif,GIF
135,*,HPGL
136,*.jpg,JPEG
137,*.mpp,MSProject
138,*.msg,Outlook
139,*.ps,Postscript
140,*.tif,TIF
141,*.wpd,WordPerfect
142,*.*,Fnd0ReqMarkup
143,*.prc,Mfg0ME3DPDFInputs
144,*.xml,Mfg0OccKinematicsInfo
145,*.*,Mfg0PlantCarpet
146,*.plmxml,Fnd0TcVisConstraint
147,*.jt,JtSimplification
148,*.vfz,Vis_Session
149,*.zip,Fnd0BMIDEDeployArchive
150,*.zip,Fnd0BMIDEProjectBackup
151,*.*,Fnd0BMIDEResource
152,*,Fnd0IconResource
153,*.xml,Fnd0PropertyMap
154,*.vdx,Fnd0Visio
155,*.vsx,Fnd0VisioTmplDataset
156,*.*,Fnd0SharedMetadataCache
157,*.mmv,Fnd0SpatialHierarchy
158,dmi,Mfg0DMIS
159,*.xml,Fnd0FasnGroupDefinition
160,*.xsd,Awp0FTSIndexer
161,*.exe,Bhm0DerivedData
162,OBJECT,CATAnalysis
163,*.CATAnalysisComputations,CATAnalysisComputations
164,*.CATAnalysisResults,CATAnalysisResults
165,*.cgr,CATCache
166,OBJECT,CATCatalog
167,OBJECT,CATDrawing
168,OBJECT,CATMfgProduct
169,OBJECT,CATPart
170,OBJECT,CATProcess
171,OBJECT,CATProduct
172,*.CATPart,CATSecondaryPart
173,*.CATProduct,CATSecondaryProduct
174,OBJECT,CATShape
175,OBJECT,CATcgm
176,OBJECT,CATwrl
177,xml,Cat2AssyConfig
178,OBJECT,catia
179,OBJECT,catia2D
180,*.model,catiaSecondary
181,*.xml,Mat1MatML
182,*.prt,NX0ApplicationData
183,*.xml,NX0BookletDataset
184,*.sim,NX0MotionSim
185,*.xml,NX0RoutingPipePartData
186,*.xml,NX0RoutingRunData
187,*.xml,NX0RoutingSpecData
188,*.geo,NX0SheetMetalExport
189,*.pdf,NX0TDP
190,*,PM0MeasuringProgram
191,*,PM0NCProgram
192,*,PM0NCProgramOpt
193,*,PM0NXCAMPTPOpt
194,*,PM0SFConfig
195,*,PM0ToolActualData
196,*,PM0ToolList
197,*,PM0ToolNominalData
198,*.cds,Awb0CompareResult
199,*.mdl,Mat0Model
200,*.clp,Rv1NetworkView
201,*.xml,Rv1XML
202,*.xml,Ase0XML
203,*.mmp,Awv0MMPDeltaCollection
204,*.xml,Crt0ContractPackage
205,*.jpg,Seg0Diagram
206,Text,Arm0SavedRule
