ID,text,label,tweet_type,tweet_topic,clean_tweet,old_tweets
1,@NASEER_OB @ ابشرك بتدخل اليوم العاشر عشان يردوا عليك او يخدمونك ياخي تحس stc مايدرون عن رؤية ٢٠٣٠ 😅 الى الحين ونفس الاخطاء من عشرات السنين,Negative,Problem,Employee,ابشرك بتدخل اليوم العاشر عشان يردوا يخدمونك ياخي تحس stc مايدرون رءيه ٢٠٣٠ الحين ونفس الاخطاء عشرات السنين,ابشرك بتدخل اليوم العاشر عشان يردوا يخدمونك ياخي تحس stc مايدرون رءيه ٢٠٣٠ الحين ونفس الاخطاء عشرات السنين
2,@NASEER_OB @ ابشرك ٣خطوط نقلتها من @ الى @Mobily  وتوبة وماعاد لي رجعة لهم,Positive,Irrelevant,General,ابشرك ٣خطوط نقلتها وتوبه وماعاد رجعه,ابشرك ٣خطوط نقلتها وتوبه وماعاد رجعه
3,@ اخذته على رقمي الثاني من فرع الظهران مول  الموضوع ما اخذ ولا عشر دقايق شكراً #stc @stc https://t.co/eAtmgQJKgv,Positive,Irrelevant,General,اخذته رقمي الثاني فرع الظهران مول الموضوع دقايق شكرا stc,اخذته رقمي الثاني فرع الظهران مول الموضوع دقايق شكرا stc
4,@s9sb @ من يعوضني ي stc 🥺,Negative,Request,Financial,يعوضني stc 🥺,يعوضني stc 🥺
5,@NASEER_OB @ ترا ماينفع معهم الا انك تروح لاقرب فرع وتتفاهم معهم وقلهم بحول عنكم شوف كيف يرجعو,Neutral,Irrelevant,Employee,ترا ماينفع معهم انك تروح لاقرب فرع وتفاهم معهم وقلهم بحول عنكم شوف يرجعو,ترا ماينفع معهم انك تروح لاقرب فرع وتفاهم معهم وقلهم بحول عنكم شوف يرجعو
6,@ كيف اقدر اغير كلمه مرور الالياف البصريه؟,Neutral,Request,Residential,اقدر اغير كلمه مرور الالياف_البصريه,اقدر اغير كلمه مرور الالياف البصريه
7,@CITC_SA @  وبس. الشركات الثانيه كلام فاضي وشغل كلبي.,Negative,Problem,General,وبس الشركات الثانيه كلام فاضي وشغل كلبي,وبس الشركات الثانيه كلام فاضي وشغل كلبي
8,"@Nawaf12838 @NASEER_OB @ 😂😂 
سويت زعلان وجبرت اسويها مع موبايلي وقالو قفل الباب وراك وانت طالع 🤏🤏",Neutral,Irrelevant,Irrelevant,سويت زعلان وجبرت اسويها موبايلي وقالو قفل الباب وراك وانت طالع 🤏,سويت زعلان وجبرت اسويها موبايلي وقالو قفل الباب وراك وانت طالع 🤏
9,"@ حولت شريحتي من سوا إلى جوي وكان عندي فيها رصيد كيف استرجع الرصيد
علما بأن الإتصال بالرقم 900 لا يعطي خيار للاستفسار او الرد على الموضوع وينهي المكالمة تلقائيا",Neutral,Request,Financial,حولت شريحتي_سوا جوي وكان عندي رصيد استرجع الرصيد علما بان الاتصال بالرقم 90 يعطي خيار لاستفسار الرد الموضوع وينهي المكالمه تلقاءيا,حولت شريحتي سوا جوي وكان عندي رصيد استرجع الرصيد علما بان الاتصال بالرقم 90 يعطي خيار لاستفسار الرد الموضوع وينهي المكالمه تلقاءيا
10,@ اضطريت اني ادفع لكن اخيس تعامل في حياتي. الموضف الثاني يقول لي تبي ادفع من جيبي يعني. لكن درس أنكم أسوأ من غيركم و الشريحة طلعتها عشان أحول الى مشغل آخر https://t.co/obFvX5D1oo,Negative,Problem,Financial,اضطريت ادفع اخيس تعامل حياتي الموضف الثاني يقول تبي ادفع جيبي يعني درس انكم اسوا غيركم الشريحه طلعتها عشان احول مشغل اخر,اضطريت ادفع اخيس تعامل حياتي الموضف الثاني يقول تبي ادفع جيبي يعني درس انكم اسوا غيركم الشريحه طلعتها عشان احول مشغل اخر
11,@ احتاج خدمه ممكن خاص,Neutral,Request,Irrelevant,احتاج خدمه مكن خاص,احتاج خدمه مكن خاص
12,@NASEER_OB @ قدم شكوى عن طريق الهيئة، صدقني ما ينفع معهم الا كذا,Negative,Problem,Complaint,قدم شكوي طريق الهيءه صدقني ينفع معهم,قدم شكوي طريق الهيءه صدقني ينفع معهم
13,@ @i8ilx @ @CITC_SA @CITC_SpokesMan اجل كل العملاء غلط وانتم الصح .. استمروا استمروا,Negative,Irrelevant,Irrelevant,العملاء غلط وانتم الصح استمروا استمروا,العملاء غلط وانتم الصح استمروا استمروا
14,@ يا اخون متى تبون تحلون مشكلتي معكم كل م جيت اتصل على900 ولا اجي الفرع م يفيدوني؟؟؟,Negative,Problem,Employee,اخون تبون تحلون_مشكلتي معكم جيت اتصل علي90 اجي الفرع يفيدوني,اخون تبون تحلون مشكلتي معكم جيت اتصل علي90 اجي الفرع يفيدوني
15,@NASEER_OB @ توقعت للمشاهير امتيازات طلعتوا نفسنا تعانون,Negative,Irrelevant,Irrelevant,توقعت لمشاهير امتيازات طلعتوا نفسنا تعانون,توقعت لمشاهير امتيازات طلعتوا نفسنا تعانون
16,@ كيف يتم فصل الخدمة قبل صدور الفاتوره مع العلم بانه لا يوجد اي مبالغ متاخره,Negative,Problem,System Problems,يتم فصل الخدمه صدور الفاتوره العلم بانه يوجد مبالغ متاخره,يتم فصل الخدمه صدور الفاتوره العلم بانه يوجد مبالغ متاخره
18,@NASEER_OB @ حمل تطبيق هيئة الاتصالات وقدم شكوى وخلال ساعات ينحل الموضوع لان الشكوى فقط في الشركه ماينفع,Neutral,Irrelevant,Complaint,حمل تطبيق هيءه الاتصالات وقدم شكوي وخلال ساعات ينحل الموضوع لان الشكوي فقط الشركه ماينفع,حمل تطبيق هيءه الاتصالات وقدم شكوي وخلال ساعات ينحل الموضوع لان الشكوي فقط الشركه ماينفع
