cid,special_status,nshares,cash
SIYH_686,True,28753,354574306
YFOU_374,False,72453,185088997
GOKJ_013,True,52248,405080861
TLKP_290,False,60568,144512641
FJGE_609,False,74658,373054372
USBV_898,True,97898,290765737
PCSH_366,True,40188,461708798
LMCM_188,True,11632,448290686
JVMG_863,True,53077,410876773
PLFG_686,False,98787,257773602
NFCJ_991,False,37234,469223681
ONGP_558,False,28204,493345649
QQKN_297,False,40599,241019707
LQLX_167,True,24084,329328782
CLPE_513,True,62466,242706679
ESUD_912,False,63891,248734582
TTGN_389,False,72550,194490738
XPKU_205,False,93744,490684617
KIUK_592,True,99333,235061003
TKNN_074,True,24605,156027469
VSND_685,True,34257,298251402
RJHA_711,True,75177,221979858
PUUJ_280,True,21525,329180838
LWCA_600,False,41217,366053127
CIUN_584,False,88974,254909995
NKSJ_645,True,65123,128995047
PLPT_189,False,77032,376892951
ZTBU_684,True,24512,261411357
AHPS_810,True,52403,362224567
WQMD_156,True,94997,336844123
VDYK_729,False,87107,195055959
VCIO_035,True,26957,361526820
NCDC_493,False,30394,359726575
FFLO_530,False,22056,444633724
WTJS_734,False,38766,403244165
MUMV_408,True,79753,397646479
DOTZ_154,True,57031,138530935
YXZW_561,False,98292,475135374
WNPO_051,False,12924,413577041
VBWU_693,False,89080,342795883
FZSQ_738,False,78121,295331362
ZABL_910,False,54128,317200243
JHNQ_723,False,71665,235316741
XOJB_190,True,23886,313147106
GYWV_414,False,39302,336338540
ILQT_147,False,73035,435599109
ZAXI_217,False,32221,243362363
TSAO_461,False,35637,428717651
YKYS_500,True,50087,225983500
MCWL_141,True,66680,225080206
SGQU_037,False,31388,471754832
SYIY_540,True,20450,232765083
DJGA_355,False,65901,270142246
GHHY_942,False,66310,343155947
YIZD_457,False,32529,253657605
RSMB_782,False,39209,206283850
RBLJ_404,False,26064,386243148
ZEWX_502,True,82379,413561080
BFDD_288,True,92232,120956713
LAQV_775,False,69514,138662546
TFST_877,False,52380,378511538
WXCX_121,False,44010,438841426
PMWA_283,False,25127,292753175
KJDQ_398,False,40140,157448085
BDUV_963,False,55663,178676999
JHTZ_953,False,70237,159900223
AGKW_757,False,80137,482380155
GUDK_472,False,24661,367058944
BMDN_002,True,47824,482966746
ZBVS_913,True,87215,414013612
TSDU_755,False,23122,347860921
LVZD_988,False,92090,284321678
SUEP_957,True,31054,255076250
AJWE_569,False,32163,225711275
LFDQ_061,False,27791,303576478
LVBW_250,True,59713,495287011
MDWV_305,False,54281,200805152
AIWX_780,False,28810,155241219
VXLP_960,False,86467,348365760
KDVX_065,False,19532,329469958
TCUR_853,False,37663,147045809
GFKB_410,False,30085,228162299
DAAN_057,False,20987,388682108
YLKV_982,False,70397,130071496
EAVH_368,False,85008,123266091
HPOX_202,False,69547,275036437
TOEY_561,False,95502,180299841
RPVI_427,False,49057,158004960
ROEX_888,False,57596,401302779
WXPU_028,False,57449,413750642
KZQQ_502,True,12222,320517753
GMCR_054,True,42300,389801406
XEDQ_246,False,60890,392298196
ZVJA_679,True,58546,123614407
GZTK_332,False,51576,388846917
YCMY_801,True,69728,333059218
EDAZ_814,False,41564,435837128
RWFP_299,True,90974,467401675
GHXZ_344,False,32934,449701765
LZHC_008,False,19481,158888252
