,Unnamed: 0,title,Sentiment
0,1,shocking  shameful a must read  article  for everyone should be especially read to those still romanticizing  article       and throwing around terms like death of democracy  SAURAV KARNAD,0
1,2,what makes  true islam followers like you conflate faith with real estate  did india ever throw anyone out on the basis of religion  and note it was  article     that was allowing child marriage and countenancing unfair inheritance rights for half of kashmiris,0
2,3,just sickening to read this thread i guess it doesnt matter if  if  article      tramples hindus dalits rights making them second class citizens unlike kashmiris who can do whatvr they want in india  curtail on women rights   article    ladakh totally left out,0
3,5,the kasmiris didnt enjoy but indulged in the special status and its true what the  article  states that the option of conferring  article     to kashmir was a forced one at that time now this wrong has been corrected   twittercomlivehindiasta    …,1
4,6, kashmirwithmodi  article     and  gave terrorism separatism dynasty politics corruption to jk pakistan used it to destabilise the region  people had to give up their lives due to the toxic situation these articles created says pmvia namo app,0
5,8,indian action regarding abrogation of  article      is against freedom of kashmiri peoples,1
6,9,well  article     that hasan mentions was supposed to be temporary and the alarming situation he is so worried about does not exist stop making decisions based on biased reports,0
7,13,madras bar association cancels lecture on  article     due to objection from bjp legal wing   livelawinnewsupdatesm    …,1
8,16,had thee been a hindu majority there wouldnt hv been need for  article     in first place,1
9,17,article     first step of rss  bjp campaign to destroy indian constitution  the info corridor       …,1
10,18,this is one possible narrative and shahid iqbal choudhary deputy commissioner of srinagar provides another it is utterly wrong and unjust to blame  article     for every minor or major shortfall faced by jk state in the path of development     ,0
11,19,isnt he right restoration of  article     vl free kashmir than why even after  india is still there in kashmir pol struggles and these cons articles are meaningless you will either have to fight or accept it,1
12,20,you may show what u want to show but the reality is that majority common ppl in kashmir jammu and laddakh and also whole of india are solidly standing supporting abrogation of malicious  article    can u deny this simple truth,1
13,28, kashmirwithmodi  it is modi govt which is finally fulfilling the aspirations of the people of jk the tyranny of the decades old law finally came to an end by showing  article     the door the govt reiterates that jk is an integral part of indiavia namo app,1
14,31,bold of you to say after india revoked  article     seriously i mean i wonder what you guys eat to say bs like this,1
15,32,what did you do for all kashmiris pandits pmanmohansingh  are you preparing your way to rajya sabhawhy did not congress remove  article     why did we gave away all that was won in battle against pakistan  why did we not defend aksai chinand so many why that are unanswered,1
16,33,dudeyou seriously need to know about the  kashmir history and  article     and  before tweeting,0
17,34,article     are part of indian constitution nd i dont think revoking those should get them madkashmiri muslims nvr has a chance of reconciling themselves with indiaindian muslimspak funded kashmir leaders never wanted thisnow they feel they hve large family called india,1
18,35, kashmirwithmodi the abolition of  article     will herald a new dawn for the people of jammu  kashmir this will open new avenues of employment economic prosperity  freedom for the people of the state  via namo app,1
19,36,open mind and open market what indias scrapping of  article     in kashmir will mean for brands   dlvritrbcrdp   pictwittercomhorxurlaqw,0
20,38,did you know that a majority in the congress wanted  article     to be scrappedin  those who sought for the abrogation said that   be done away with in the interest of complete integration of jammuandkasmir  with the rest of the country  oneindiacomindiabackin    …,1
21,39,i believe there was tight security control just before telangana formation it is precautionary other than that the process was right  article     needed only presidents nod still the resolution was presented in both houses and  majority vote achieved,0
22,40, pakhumiliated  pakistan told strictly by un dat removal of  article     n  is internal matter of india n no external ramifications requiredsyed akbaruddeen clarifies in pc at ny right now,1
23,41,we know its some thing good but u need to work more hard if india will ask to start dialogue then india need to reverse its decision of revoking  article     first then start peace dialogue otherwise need to put more pressure till he step back,1
24,42,ohh it was  article     not section    now it makes everything better so as we are pointing out unnecessary mistakes here is one for you article     is not gone it existstaaadaaaa magiccccc   article     now has only one clause,1
25,43,article     has india bitten off more than it can chew in kashmir   bbccomnewsworldasi    …,1
26,44,can a challenge possible under  article   to amendment to  article     and abrogation of art  in sc and high court by a non affected partypress below to find  mfacebookcomstoryphpstor    …,1
27,45,u ppl comes india fr gettng famous nd we hd always welcomed u with respectnd thn u talk bullshit against us is this manner or respecti thnk u shld read  article     frst nd u wld get to knw dat u ppl were forcefully tryng to entr in our country bt u hd alwys got backfired,1
28,48,voices from jk must be heard says manmohan singh in first remarks on  article      years as pm and we only heard his masters voice now he wants to hear voices    timesofindiaindiatimescomindiavoicesf    …,1
29,50,we think this is great step that our  delhi government have taken this is most needed step thank you very much for taking such great step in my view it is as needed as as abrogation of     article  we hope it will bring drastic improvement in indian education system ,1
