,Unnamed: 0,Unnamed: 0.1,title,Sentiment,Noun_Word
0,0,1,shocking  shameful a must read  article  for everyone should be especially read to those still romanticizing  article       and throwing around terms like death of democracy  SAURAV KARNAD,0,"['article', 'article', 'terms', 'death', 'democracy']"
1,1,2,what makes  true islam followers like you conflate faith with real estate  did india ever throw anyone out on the basis of religion  and note it was  article     that was allowing child marriage and countenancing unfair inheritance rights for half of kashmiris,0,"['islam', 'followers', 'faith', 'estate', 'india', 'basis', 'religion', 'article', 'child', 'marriage', 'countenancing', 'inheritance', 'rights', 'half', 'kashmiris']"
2,2,3,just sickening to read this thread i guess it doesnt matter if  if  article      tramples hindus dalits rights making them second class citizens unlike kashmiris who can do whatvr they want in india  curtail on women rights   article    ladakh totally left out,0,"['thread', 'article', 'hindus', 'dalits', 'rights', 'class', 'citizens', 'kashmiris', 'whatvr', 'curtail', 'women', 'rights', 'article']"
3,3,5,the kasmiris didnt enjoy but indulged in the special status and its true what the  article  states that the option of conferring  article     to kashmir was a forced one at that time now this wrong has been corrected   twittercomlivehindiasta    …,1,"['kasmiris', 'status', 'article', 'option', 'article', 'time', 'wrong', 'twittercomlivehindiasta']"
4,4,6, kashmirwithmodi  article     and  gave terrorism separatism dynasty politics corruption to jk pakistan used it to destabilise the region  people had to give up their lives due to the toxic situation these articles created says pmvia namo app,0,"['article', 'terrorism', 'separatism', 'dynasty', 'politics', 'corruption', 'region', 'people', 'lives', 'situation', 'articles', 'namo', 'app']"
5,5,8,indian action regarding abrogation of  article      is against freedom of kashmiri peoples,1,"['action', 'abrogation', 'article', 'freedom', 'peoples']"
6,6,9,well  article     that hasan mentions was supposed to be temporary and the alarming situation he is so worried about does not exist stop making decisions based on biased reports,0,"['article', 'mentions', 'situation', 'decisions', 'reports']"
7,7,13,madras bar association cancels lecture on  article     due to objection from bjp legal wing   livelawinnewsupdatesm    …,1,"['bar', 'association', 'lecture', 'article', 'objection', 'wing', 'livelawinnewsupdatesm']"
8,8,16,had thee been a hindu majority there wouldnt hv been need for  article     in first place,1,"['hindu', 'majority', 'need', 'article', 'place']"
9,9,17,article     first step of rss  bjp campaign to destroy indian constitution  the info corridor       …,1,"['article', 'step', 'rss', 'bjp', 'campaign', 'constitution', 'info', 'corridor']"
10,10,18,this is one possible narrative and shahid iqbal choudhary deputy commissioner of srinagar provides another it is utterly wrong and unjust to blame  article     for every minor or major shortfall faced by jk state in the path of development     ,0,"['narrative', 'shahid', 'choudhary', 'deputy', 'commissioner', 'srinagar', 'article', 'shortfall', 'state', 'path', 'development']"
11,11,19,isnt he right restoration of  article     vl free kashmir than why even after  india is still there in kashmir pol struggles and these cons articles are meaningless you will either have to fight or accept it,1,"['restoration', 'article', 'kashmir', 'india', 'pol', 'struggles', 'cons', 'articles']"
12,12,20,you may show what u want to show but the reality is that majority common ppl in kashmir jammu and laddakh and also whole of india are solidly standing supporting abrogation of malicious  article    can u deny this simple truth,1,"['reality', 'majority', 'ppl', 'jammu', 'laddakh', 'india', 'abrogation', 'article', 'truth']"
13,13,28, kashmirwithmodi  it is modi govt which is finally fulfilling the aspirations of the people of jk the tyranny of the decades old law finally came to an end by showing  article     the door the govt reiterates that jk is an integral part of indiavia namo app,1,"['govt', 'aspirations', 'people', 'tyranny', 'decades', 'law', 'end', 'article', 'door', 'govt', 'part', 'namo', 'app']"
14,14,31,bold of you to say after india revoked  article     seriously i mean i wonder what you guys eat to say bs like this,1,"['india', 'article', 'guys']"
15,15,32,what did you do for all kashmiris pandits pmanmohansingh  are you preparing your way to rajya sabhawhy did not congress remove  article     why did we gave away all that was won in battle against pakistan  why did we not defend aksai chinand so many why that are unanswered,1,"['kashmiris', 'pandits', 'way', 'rajya', 'sabhawhy', 'article', 'battle', 'aksai', 'chinand']"
16,16,33,dudeyou seriously need to know about the  kashmir history and  article     and  before tweeting,0,"['history', 'article']"
17,17,34,article     are part of indian constitution nd i dont think revoking those should get them madkashmiri muslims nvr has a chance of reconciling themselves with indiaindian muslimspak funded kashmir leaders never wanted thisnow they feel they hve large family called india,1,"['article', 'part', 'constitution', 'muslims', 'chance', 'leaders', 'thisnow', 'family', 'india']"
18,18,35, kashmirwithmodi the abolition of  article     will herald a new dawn for the people of jammu  kashmir this will open new avenues of employment economic prosperity  freedom for the people of the state  via namo app,1,"['abolition', 'article', 'dawn', 'people', 'jammu', 'kashmir', 'avenues', 'employment', 'prosperity', 'freedom', 'people', 'state', 'namo', 'app']"
19,19,36,open mind and open market what indias scrapping of  article     in kashmir will mean for brands   dlvritrbcrdp   pictwittercomhorxurlaqw,0,"['mind', 'market', 'indias', 'scrapping', 'article', 'brands', 'pictwittercomhorxurlaqw']"
20,20,38,did you know that a majority in the congress wanted  article     to be scrappedin  those who sought for the abrogation said that   be done away with in the interest of complete integration of jammuandkasmir  with the rest of the country  oneindiacomindiabackin    …,1,"['majority', 'congress', 'article', 'scrappedin', 'abrogation', 'interest', 'integration', 'rest', 'country', 'oneindiacomindiabackin']"
21,21,39,i believe there was tight security control just before telangana formation it is precautionary other than that the process was right  article     needed only presidents nod still the resolution was presented in both houses and  majority vote achieved,0,"['security', 'control', 'telangana', 'process', 'article', 'presidents', 'resolution', 'houses', 'majority', 'vote']"
22,22,40, pakhumiliated  pakistan told strictly by un dat removal of  article     n  is internal matter of india n no external ramifications requiredsyed akbaruddeen clarifies in pc at ny right now,1,"['pakistan', 'removal', 'article', 'matter', 'india', 'ramifications', 'requiredsyed', 'akbaruddeen', 'pc', 'ny']"
23,23,41,we know its some thing good but u need to work more hard if india will ask to start dialogue then india need to reverse its decision of revoking  article     first then start peace dialogue otherwise need to put more pressure till he step back,1,"['thing', 'u', 'india', 'dialogue', 'decision', 'article', 'peace', 'dialogue', 'pressure']"
24,24,42,ohh it was  article     not section    now it makes everything better so as we are pointing out unnecessary mistakes here is one for you article     is not gone it existstaaadaaaa magiccccc   article     now has only one clause,1,"['article', 'mistakes', 'article', 'existstaaadaaaa', 'article', 'clause']"
25,25,43,article     has india bitten off more than it can chew in kashmir   bbccomnewsworldasi    …,1,"['article', 'india']"
