Country/Territory,Title,Type,Link,URL,Digital Innovations,Data Infrastructure,Business Development Services,Enabling Environment for Digitalisation
antigua and barbuda,Information and Communication Technologies Policy (Draft),Part of National ICT/Digital Document,"Information
and Communication Technologies Policy (Draft)",https://silo.tips/download/antigua-and-barbuda-information-and-communication-technologies-icts-draft-policy,,,,
antigua and barbuda,Data Protection Act 2013,Part of National ICT/Digital Document,Antigua and Barbuda - Data Protection Act 2013 - (theinformationcollective.com),https://www.theinformationcollective.com/dpl/antigua-and-barbuda-data-protection-act-2013,,,,
antigua and barbuda,Electronic Crimes Act 2013 & Electronic Crimes (Amendment) Act 2018,Part of National ICT/Digital Document,Electronic Crimes Act 2013 & Electronic Crimes (Amendment) Act 2018 | The Commonwealth Connectivity Agenda Repository of Digital Policies and Regulations,https://tradecca.thecommonwealth.org/document/electronic-crimes-act-2013-electronic-crimes-amendment-act-2018,,,,
antigua and barbuda,Electronic Transactions Act 2013 & Electronic Transactions (Amendment) Act 2016,Part of National ICT/Digital Document,electronic-transactions-act-2013-electronic-transactions-amendment-act-2016 (thecommonwealth.org),https://tradecca.thecommonwealth.org/pdf/electronic-transactions-act-2013-electronic-transactions-amendment-act-2016,,,,
antigua and barbuda,G.A.T.E. Government Assisted Technology Endeavour,Part of National ICT/Digital Document,G.A.T.E. Government Assisted Technology Endeavour | The Commonwealth Connectivity Agenda Repository of Digital Policies and Regulations,https://tradecca.thecommonwealth.org/document/g-a-t-e-government-assisted-technology-endeavour,,,,
antigua and barbuda,Food and Nutrition Security Policy 2012,Part of Existing Sector Document (Agriculture/Fisheries),Food and Nutrition Security Policy 2012,#VALUE!,,,,
australia,"Australia's Second National Plan of Action to Prevent, Deter and Eliminate Illegal, Unreported and Unregulated Fishing.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/aus161858.pdf,http://faolex.fao.org/docs/pdf/aus161858.pdf,,,,
australia,Digital Transformation Strategy,Part of National ICT/Digital Document,https://www.bing.com/search?q=Digital+Transformation+Strategy+australia+&qs=n&form=QBRE&msbsrank=1_2__0&sp=-1&pq=digital+transformation+strategy+australi&sc=2-40&sk=&cvid=85C51D9B1C434CEABAEB6546097260DD,https://www.bing.com/search?q=Digital+Transformation+Strategy+australia+&qs=n&form=QBRE&msbsrank=1_2__0&sp=-1&pq=digital+transformation+strategy+australi&sc=2-40&sk=&cvid=85C51D9B1C434CEABAEB6546097260DD,,,,
australia,Treasury Laws Amendment (Consumer Data Right) 2018 Bill,Part of National ICT/Digital Document,Treasury Laws Amendment (Consumer Data Right) 2018 Bill | Treasury.gov.au,https://treasury.gov.au/consumer-data-right-bill,,,,
australia,Digital Preservation Policy 4th Edition (2013),Part of National ICT/Digital Document,Digital Preservation Policy 4th Edition (2013) | National Library of Australia (nla.gov.au),https://www.nla.gov.au/policy-and-planning/digital-preservation-policy,,,,
