,Country/Territory,Title,Type,Link,URL,PDF_Name,digital innovation,data infrastructure,business development,enabling environment,Data is defined,Definition of data
0,australia,"Australia's Second National Plan of Action to Prevent, Deter and Eliminate Illegal, Unreported and Unregulated Fishing.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/aus161858.pdf,http://faolex.fao.org/docs/pdf/aus161858.pdf,0.pdf,,,,,,
1,australia,Australia Tech Future,Part of National ICT/Digital Document,AUSTRALIA’S TECH FUTURE (industry.gov.au),https://www.industry.gov.au/sites/default/files/2018-12/australias-tech-future.pdf,1.pdf,,,,"australia’s tech future - 41 cyber security australians feel safe online, the modern economy is protected from cyber security threats and australia is home to a globally competitive cyber security industry. outcomes: • australians have confidence in the ability of our digital infrastructure to stand up to cyber security threats",,
2,australia,Digital Economy Strategy 2021,Part of National ICT/Digital Document,Digital Economy Strategy (pmc.gov.au),https://digitaleconomy.pmc.gov.au/sites/default/files/2021-05/digital-economy-strategy.pdf,2.pdf,,,,,,
3,australia,Digital Agriculture Strategy Victoria,Standalone,https://agriculture.vic.gov.au/__data/assets/pdf_file/0006/567051/Digital-agriculture-strategy-2018.pdf,https://agriculture.vic.gov.au/__data/assets/pdf_file/0006/567051/Digital-agriculture-strategy-2018.pdf,3.pdf,,,,,,
4,australia,Farm Data Code 2020 Edition 1,Standalone,Farm_Data_Code_Edition_1_WEB_FINAL.pdf (nff.org.au),https://nff.org.au/wp-content/uploads/2020/02/Farm_Data_Code_Edition_1_WEB_FINAL.pdf,4.pdf,,,,,,
5,bahamas,Payments Instruments (Oversight) Regulations 2017 & Payments Systems Act 2012,Part of National ICT/Digital Document,https://www.centralbankbahamas.com/viewPDF/documents/2020-12-10-21-15-37-2019-06-19-04-04-54-Payment-Instruments-Oversight-Regulations-2017.pdf,https://www.centralbankbahamas.com/viewPDF/documents/2020-12-10-21-15-37-2019-06-19-04-04-54-Payment-Instruments-Oversight-Regulations-2017.pdf,5.pdf,,,,,,
8,bahamas,Connect Your E-Business Strategy To The Bahamas - Bridging The Digital Divide,Part of National ICT/Digital Document,Bahamas E_Guide (d3n8a8pro7vhmx.cloudfront.net),https://d3n8a8pro7vhmx.cloudfront.net/itsnojoke/pages/94/attachments/original/1492607359/e-business_guide.pdf?1492607359,8.pdf,,,,,,
9,bahamas,Five Year Sector Strategy Pan for Fisheries and Aquaculture (2010-2014) d,Part of Existing Sector Document (Agriculture/Fisheries),"Five Year
Sector Strategy Pan for Fisheries and Aquaculture (2010-2014",http://extwprlegs1.fao.org/docs/pdf/bha176952.pdf,9.pdf,,,,,,
10,bahamas,"The Bahamas National Pathway for Food Systems
Transformation in support of The 2030 Agenda",Part of Existing Sector Document (Agriculture/Fisheries),Bahamas National Pathway - UNFSSD (summitdialogues.org),https://summitdialogues.org/wp-content/uploads/2021/09/Bahamas-National-Pathway-UNFSSD-2.pdf,10.pdf,,,and entrepreneurship in the agricultural and fisheries sectors. its strategic orientation is guided by the five focus areas below: 1 food import substitution - aim to take advantage of the national market by implementing an import substitution strategy and by linking producers to the tourism industry’s supply chain.9 9 for,"consisting of effective policy and legislation, as well as 4https://sustainabledevelopment.un.org/content/documents/19874vnr_document_03.07.18_master_doc ument.pdf strengthening the ministry of agriculture and marine resources’ (as the lead government ministerial stakeholder) capacity to deliver essential services to agri-food value chains. the bahamas’ national pathway to a sustainable food system as mentioned above there is untapped potential",,
11,bangladesh,"Country Investment Plan - A road map towards investment in agriculture, food security and nutrition.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/bgd163029.pdf,http://faolex.fao.org/docs/pdf/bgd163029.pdf,11.pdf,,,"project 38,232 11,151 27,081 30,284 11,001 19,283 43.57 15.83 42,652 12,122 30,530 33,858 11,456 22,402 48.72 16.48 sub programme 6.4: promote and assist the development of off farm activities and rural businesses gribusiness-development project 5,317 5,317 adb 7.65 egulatory and investment systems for enterprise and growth (rise): component supporting south",(policies) and partnerships for the effective implementation of the cip d) oversee the cip implementation and monitoring processes. the technical committee supports the national committee by: a) guiding the identification and prioritization of cip related investment projects; b) providing guidance on the implementation of cip programmes; c) coordinating the cip,,
