StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1_NPS_GROUP,Q1,Q2A,Q2B,Q2C,Q3,Q4,Q4A,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6A,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_9_TEXT,Q7A_1,Q7A_2,Q7A_3,Q7A_4,Q7A_5,Q7A_6,Q7A_7,Q7A_8,Q7A_9,Q7A_9_TEXT,Q7B_1_1,Q7B_2_1,Q7B_3_1,Q7B_4_1,Q7B_5_1,Q7B_6_1,Q7B_7_1,Q7B_8_1,Q7B_9_TEXT,Q7B_9_1,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_9_TEXT,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1_1,Q11_1,Wave,WaveUpdate,complete_status,SurveyID,ResponseID,Subject,PanelID,Language,RecipientLanguage,Q_Language,person_geo,person_region,person_country,language,person_industry,sales_segment,source,account,TranslationLanguage,CSM,CMBU_CSM,EUC_CSM,VMC_CSM,Hierarchy,Job Role,Job Title,ResponseId,FINALREGION,WEIGHT,CB_CSM,WT_SEGMENT,mobile_device,Q4A_EN,Q2C_EN,Q6a_EN,Q2A_EN,Q2B_EN,Q7b_1_EN,Q7b_2_EN,Q7b_3_EN,Q7b_4_EN,Q7b_9_EN,Q7b_5_EN,Q7b_6_EN,Q7b_8_EN,Q7b_7_EN
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,How likely are you to recommend VMware products or services to a colleague or associate? - Group,How likely are you to recommend VMware products or services to a colleague or associate?,Your feedback goes a long way to helping us build out great experiences for customers like you. Please explain why you would recommend VMware.â€‹,Your feedback goes a long way to helping us build out great experiences for customers like you. Please explain why you would not recommend VMware.â€‹,What can we do to improve your experience?,"Currently, which option best describes your role when it comes to VMware?",Do you consider VMware a trusted advisor?,Why would you not consider VMware a trusted advisor?,Please rate your satisfaction with each of the following: - Pricing,Please rate your satisfaction with each of the following: - Purchasing Process,Please rate your satisfaction with each of the following: - VMware's renewals process,Please rate your satisfaction with each of the following: - Onboarding into VMware products/services,Please rate your satisfaction with each of the following: - Using VMware products and services,Please rate your satisfaction with each of the following: - Optimizing your solution and/or expanding use cases with VMware,Please express your agreement with each of the following: - VMware has flexible policies and practices,Please express your agreement with each of the following: - VMware solves my company's problems quickly,Please express your agreement with each of the following: - My company's relationship with VMware is a long-term partnership,Please express your agreement with each of the following: - VMware helps my company achieve its overall business objectives,Please express your agreement with each of the following: - VMware is a strategic innovation leader,Why would you not consider VMware a strategic innovation leader?,"Which of the following VMware solutions do you/your team currently use? - Selected Choice - Datacenter solutions 

 VMware vSphere, VMware vSAN, VxRail
","Which of the following VMware solutions do you/your team currently use? - Selected Choice - Private Cloud

 VMware Cloud Foundation (VCF)
","Which of the following VMware solutions do you/your team currently use? - Selected Choice - Public Cloud

 VMware Cloud on AWS, Azure, Google, IBM, Oracle or other partner providers
","Which of the following VMware solutions do you/your team currently use? - Selected Choice - Cloud Management

 VMware vRealize portfolio
","Which of the following VMware solutions do you/your team currently use? - Selected Choice - Modern Application Platform

	VMware Tanzu portfolio

","Which of the following VMware solutions do you/your team currently use? - Selected Choice - Digital Workspace (including VDI)

	Workspace ONE, VMware Horizon

","Which of the following VMware solutions do you/your team currently use? - Selected Choice - Networking

	VMware NSX portfolio including Avi

","Which of the following VMware solutions do you/your team currently use? - Selected Choice - Security

	VMware Carbon Black portfolio

",Which of the following VMware solutions do you/your team currently use? - Selected Choice - Other,Which of the following VMware solutions do you/your team currently use? - Other - Text,"Please rate your satisfaction with the following. - Datacenter solutions 

 VMware vSphere, VMware vSAN, VxRail","Please rate your satisfaction with the following. - Private Cloud

 VMware Cloud Foundation (VCF)","Please rate your satisfaction with the following. - Public Cloud

 VMware Cloud on AWS, Azure, Google, IBM, Oracle or other partner providers","Please rate your satisfaction with the following. - Cloud Management

 VMware vRealize portfolio","Please rate your satisfaction with the following. - Modern Application Platform

	VMware Tanzu portfolio","Please rate your satisfaction with the following. - Digital Workspace (including VDI)

	Workspace ONE, VMware Horizon","Please rate your satisfaction with the following. - Networking

	VMware NSX portfolio including Avi","Please rate your satisfaction with the following. - Security

	VMware Carbon Black portfolio",Please rate your satisfaction with the following. - Other,Please rate your satisfaction with the following. - Other - Text,"Please tell us why you gave us the score you did. - Datacenter solutions 

 VMware vSphere, VMware vSAN, VxRail
 -","Please tell us why you gave us the score you did. - Private Cloud

 VMware Cloud Foundation (VCF)
 -","Please tell us why you gave us the score you did. - Public Cloud

 VMware Cloud on AWS, Azure, Google, IBM, Oracle or other par... - Public Cloud

 VMware Cloud on AWS, Azure, Google, IBM, Oracle or other partner providers
 -","Please tell us why you gave us the score you did. - Cloud Management

 VMware vRealize portfolio
 -","Please tell us why you gave us the score you did. - Modern Application Platform

	VMware Tanzu portfolio

 -","Please tell us why you gave us the score you did. - Digital Workspace (including VDI)

	Workspace ONE, VMware Horizon

 -","Please tell us why you gave us the score you did. - Networking

	VMware NSX portfolio including Avi

 -","Please tell us why you gave us the score you did. - Security

	VMware Carbon Black portfolio

 -",Please tell us why you gave us the score you did. - Other - Text,Please tell us why you gave us the score you did. - Other -,"Which VMware solution(s) are you evaluating to adopt or expand your usage? - Selected Choice - Datacenter solutions 

 VMware vSphere, VMware vSAN, VxRail
","Which VMware solution(s) are you evaluating to adopt or expand your usage? - Selected Choice - Private Cloud

 VMware Cloud Foundation (VCF)
","Which VMware solution(s) are you evaluating to adopt or expand your usage? - Selected Choice - Public Cloud

 VMware Cloud on AWS, Azure, Google, IBM, Oracle or other partner providers
","Which VMware solution(s) are you evaluating to adopt or expand your usage? - Selected Choice - Cloud Management

 VMware vRealize portfolio
","Which VMware solution(s) are you evaluating to adopt or expand your usage? - Selected Choice - Modern Application Platform

 VMware Tanzu portfolio
","Which VMware solution(s) are you evaluating to adopt or expand your usage? - Selected Choice - Digital Workspace (including VDI)

 Workspace ONE, VMware Horizon
","Which VMware solution(s) are you evaluating to adopt or expand your usage? - Selected Choice - Networking

 VMware NSX portfolio including Avi
","Which VMware solution(s) are you evaluating to adopt or expand your usage? - Selected Choice - Security

 VMware Carbon Black portfolio
",Which VMware solution(s) are you evaluating to adopt or expand your usage? - Selected Choice - Other,Which VMware solution(s) are you evaluating to adopt or expand your usage? - Other - Text,How will your future technology strategy evolve due to the current business climate?  Select all that apply. - Accelerate IaaS adoption,How will your future technology strategy evolve due to the current business climate?  Select all that apply. - Expand hybrid cloud,How will your future technology strategy evolve due to the current business climate?  Select all that apply. - Expand on-prem,How will your future technology strategy evolve due to the current business climate?  Select all that apply. - Scale down on-prem,How will your future technology strategy evolve due to the current business climate?  Select all that apply. - Accelerate SaaS adoption,How will your future technology strategy evolve due to the current business climate?  Select all that apply. - Remote workforce,How will your future technology strategy evolve due to the current business climate?  Select all that apply. - Enhance security,How will your future technology strategy evolve due to the current business climate?  Select all that apply. - Business continuity,How will your future technology strategy evolve due to the current business climate?  Select all that apply. - Maintain with less budget,"Are you interested in providing us with more feedback on VMwareâ€™s products, services and experiences? We invite you to join our Inner Circle Community where you can directly influence the future of VMware. We commit to making it worth your time with added value for joining. - Please check this box if you'd like to join the program and we'llÂ follow up with more information soon! - 1",Would you be willing to participate in a follow-up conversation via phone or email related to this survey? - I wish to be contacted by VMware to discuss my feedback.,Wave,WaveUpdate,complete_status,SurveyID,ResponseID,Subject,PanelID,Language,RecipientLanguage,Q_Language,person_geo,person_region,person_country,language,person_industry,sales_segment,source,account,TranslationLanguage,CSM,CMBU_CSM,EUC_CSM,VMC_CSM,Hierarchy,Job Role,Job Title,ResponseId,FINALREGION,WEIGHT,CB_CSM,WT_SEGMENT,mobile_device,Why would you not consider VMware a trusted advisor? EN,What can we do to improve your experience? EN,q6a_EN,Your feedback goes a long way to helping us build out great experiences for... EN,Your feedback goes a long way to helping us build out great experiences for... EN,q7b_1_EN,q7b_2_EN,q7b_3_EN,q7b_4_EN,q7b_9_EN,q7b_5_EN,q7b_6_EN,q7b_8_EN,q7b_7_EN
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID8_NPS_GROUP""}","{""ImportId"":""QID8""}","{""ImportId"":""QID179_TEXT""}","{""ImportId"":""QID180_TEXT""}","{""ImportId"":""QID173_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166_TEXT""}","{""ImportId"":""QID167_13""}","{""ImportId"":""QID167_24""}","{""ImportId"":""QID167_21""}","{""ImportId"":""QID167_15""}","{""ImportId"":""QID167_19""}","{""ImportId"":""QID167_20""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID172_9""}","{""ImportId"":""QID172_10""}","{""ImportId"":""QID172_12""}","{""ImportId"":""QID172_13""}","{""ImportId"":""QID177_TEXT""}","{""ImportId"":""QID185"",""choiceId"":""1""}","{""ImportId"":""QID185"",""choiceId"":""2""}","{""ImportId"":""QID185"",""choiceId"":""3""}","{""ImportId"":""QID185"",""choiceId"":""4""}","{""ImportId"":""QID185"",""choiceId"":""5""}","{""ImportId"":""QID185"",""choiceId"":""6""}","{""ImportId"":""QID185"",""choiceId"":""7""}","{""ImportId"":""QID185"",""choiceId"":""8""}","{""ImportId"":""QID185"",""choiceId"":""9""}","{""ImportId"":""QID185_17_TEXT""}","{""ImportId"":""QID186_x11""}","{""ImportId"":""QID186_x12""}","{""ImportId"":""QID186_x14""}","{""ImportId"":""QID186_x15""}","{""ImportId"":""QID186_x1""}","{""ImportId"":""QID186_x5""}","{""ImportId"":""QID186_x7""}","{""ImportId"":""QID186_x6""}","{""ImportId"":""QID186_x17""}","{""ImportId"":""QID186_x17_TEXT""}","{""ImportId"":""QID190_x11_1""}","{""ImportId"":""QID190_x12_1""}","{""ImportId"":""QID190_x14_1""}","{""ImportId"":""QID190_x15_1""}","{""ImportId"":""QID190_x1_1""}","{""ImportId"":""QID190_x5_1""}","{""ImportId"":""QID190_x7_1""}","{""ImportId"":""QID190_x6_1""}","{""ImportId"":""QID190_x17_TEXT""}","{""ImportId"":""QID190_x17_1""}","{""ImportId"":""QID192"",""choiceId"":""1""}","{""ImportId"":""QID192"",""choiceId"":""2""}","{""ImportId"":""QID192"",""choiceId"":""3""}","{""ImportId"":""QID192"",""choiceId"":""4""}","{""ImportId"":""QID192"",""choiceId"":""5""}","{""ImportId"":""QID192"",""choiceId"":""6""}","{""ImportId"":""QID192"",""choiceId"":""7""}","{""ImportId"":""QID192"",""choiceId"":""8""}","{""ImportId"":""QID192"",""choiceId"":""9""}","{""ImportId"":""QID192_17_TEXT""}","{""ImportId"":""QID189"",""choiceId"":""1""}","{""ImportId"":""QID189"",""choiceId"":""2""}","{""ImportId"":""QID189"",""choiceId"":""3""}","{""ImportId"":""QID189"",""choiceId"":""4""}","{""ImportId"":""QID189"",""choiceId"":""5""}","{""ImportId"":""QID189"",""choiceId"":""6""}","{""ImportId"":""QID189"",""choiceId"":""7""}","{""ImportId"":""QID189"",""choiceId"":""8""}","{""ImportId"":""QID189"",""choiceId"":""9""}","{""ImportId"":""QID94_1"",""choiceId"":""1""}","{""ImportId"":""QID197"",""choiceId"":""1""}","{""ImportId"":""Wave""}","{""ImportId"":""WaveUpdate""}","{""ImportId"":""complete_status""}","{""ImportId"":""SurveyID""}","{""ImportId"":""QSEDResponseID""}","{""ImportId"":""Subject""}","{""ImportId"":""PanelID""}","{""ImportId"":""Language""}","{""ImportId"":""RecipientLanguage""}","{""ImportId"":""Q_Language""}","{""ImportId"":""person_geo""}","{""ImportId"":""person_region""}","{""ImportId"":""person_country""}","{""ImportId"":""language""}","{""ImportId"":""person_industry""}","{""ImportId"":""sales_segment""}","{""ImportId"":""source""}","{""ImportId"":""account""}","{""ImportId"":""TranslationLanguage""}","{""ImportId"":""CSM""}","{""ImportId"":""CMBU_CSM""}","{""ImportId"":""EUC_CSM""}","{""ImportId"":""VMC_CSM""}","{""ImportId"":""Hierarchy""}","{""ImportId"":""Job Role""}","{""ImportId"":""Job Title""}","{""ImportId"":""QSEDResponseId""}","{""ImportId"":""FINALREGION""}","{""ImportId"":""WEIGHT""}","{""ImportId"":""CB_CSM""}","{""ImportId"":""WT_SEGMENT""}","{""ImportId"":""mobile_device""}","{""ImportId"":""QID166_TEXT_TRANSLATEDenmatveqr""}","{""ImportId"":""QID173_TEXT_TRANSLATEDenop80yuv""}","{""ImportId"":""QID177_TEXT_TRANSLATEDenbxu5qq0""}","{""ImportId"":""QID179_TEXT_TRANSLATEDenfwltfjs""}","{""ImportId"":""QID180_TEXT_TRANSLATEDen9ewb5mw""}","{""ImportId"":""QID190_x11_1_TRANSLATEDentnqq60m""}","{""ImportId"":""QID190_x12_1_TRANSLATEDen2fkokcb""}","{""ImportId"":""QID190_x14_1_TRANSLATEDenfaplxe0""}","{""ImportId"":""QID190_x15_1_TRANSLATEDenrkg48f7""}","{""ImportId"":""QID190_x17_1_TRANSLATEDenumofwtd""}","{""ImportId"":""QID190_x1_1_TRANSLATEDent3f2pz4""}","{""ImportId"":""QID190_x5_1_TRANSLATEDeni9nif2s""}","{""ImportId"":""QID190_x6_1_TRANSLATEDentufoyj2""}","{""ImportId"":""QID190_x7_1_TRANSLATEDenggjrshl""}"
11/15/21 21:04,11/15/21 21:07,Imported,100,223,TRUE,12/15/21 10:05,R_6AaCEkIn7LRXuUS,email,EN,0.600000024,Promoter,9,,,,Practitioner â€“ Perform the day-to-day VMware operations for my company,Yes,,5,5,5,5,6,6,5,4,5,5,5,,"Datacenter solutions 

 VMware vSphere, VMware vSAN, VxRail
",,,,,,,,,,Extremely Satisfied  - 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maintain with less budget,,I wish to be contacted by VMware to discuss my feedback.,2HFY22,2HFY22,1,SV_eX6YSL8Lzo20kmi,R_z5MHD66SVggkg6t,NPS Closed Loop â€“ 2HFY22,CG_Qp2X1G27jQL82wV,EN,EN,EN,APJ,ASEAN,INDONESIA,,,,SFDC,,,0,0,0,0,,,,R_z5MHD66SVggkg6t,,0.787109635,0,2HFY22__1,0,,,,,,,,,,,,,,
11/10/21 9:00,11/10/21 9:05,Imported,100,262,TRUE,12/15/21 10:05,R_74yZFhxf5VRBN2e,email,DE,1,Passive,8,,,"Technisch top, doch immer mehr kostenintensiv.",Budget Owner â€“ Final decision-maker on significant VMware purchases for my company,Yes,,3,6,4,4,6,5,5,6,6,6,5,,"Datacenter solutions 

 VMware vSphere, VMware vSAN, VxRail
",,,,,,,,,,6,,,,,,,,,,Technisch sehr zuverlÃ¤ssig,,,,,,,,,,,,,,"Modern Application Platform

 VMware Tanzu portfolio
","Digital Workspace (including VDI)

 Workspace ONE, VMware Horizon
",,,,,,Expand hybrid cloud,,,,Remote workforce,Enhance security,,,,I wish to be contacted by VMware to discuss my feedback.,2HFY22,2HFY22,1,SV_eX6YSL8Lzo20kmi,R_2zjzLB3knKnIAdD,NPS Closed Loop â€“ 2HFY22,CG_3J7Qzj4o4CTqSS0,DE,DE,DE,EMEA,CEMEA,GERMANY,,Other,C2,MDH,,,0,0,0,0,IT PRACTITIONER,Systems Administrator,Sysadmin,R_2zjzLB3knKnIAdD,,0.536990027,0,2HFY22__1,0,,"Technically top, but always more expensive.",,,,Technically very reliable,,,,,,,,
11/15/21 21:32,11/15/21 21:36,Imported,100,228,TRUE,12/15/21 10:05,R_81cqwo6bIRMxDf0,email,JA,0.899999976,Detractor,5,,ç¤¾å†…ã§ã¯è‡ªåˆ†ä»¥å¤–ãŒVMwareè£½å“ã‚’ä½¿ã£ã¦ã„ã‚‹ã“ã¨ã«æ„Ÿå¿ƒãŒãªã„ã€‚ ç¤¾å¤–ã«å¯¾ã—ã¦ã¯ã€å¤§ã—ãŸã“ã¨ã‚’ã—ã¦ã„ã‚‹ã‚ã‘ã§ã¯ãªã„ã®ã§ã€ã‚ã¾ã‚ŠæŽ¨å¥¨ã™ã‚‹ã»ã©ã®ã“ã¨ã§ã¯ãªã„ã¨æ„Ÿã˜ã‚‹,,Practitioner â€“ Perform the day-to-day VMware operations for my company,Yes,,5,4,,,,,,,,,,,"Datacenter solutions 

 VMware vSphere, VMware vSAN, VxRail
",,,,,,,,,,5,,,,,,,,,,vSphereã‚’ä½¿ã£ã¦ã„ã‚‹ãŒç„¡å„Ÿã§ä½¿ã„å‹æ‰‹ãŒã‚ˆã„,,,,,,,,,,,,,,,,,,,,,,,Scale down on-prem,,,,,,,I wish to be contacted by VMware to discuss my feedback.,2HFY22,2HFY22,1,SV_eX6YSL8Lzo20kmi,R_3KAsh8uT0AEb4tX,NPS Closed Loop â€“ 2HFY22,CG_Qp2X1G27jQL82wV,JA,JA,JA,APJ,JAPAN,JAPAN,,Services,,SFDC,,,0,0,0,0,PRACTITIONER-OTHER,Programmer / Developer,Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¼Â³Ã¯Â¼Â²Ã©Æ’Â¨,R_3KAsh8uT0AEb4tX,,0.462734375,0,2HFY22__1,0,,,,,"I'm not impressed that anyone other than myself is using VMware products in the company. I don't think I'm doing much to the outside world, so I don't think it's a good idea.","I am using vSphere, but it is free and easy to use.",,,,,,,,
11/15/21 21:33,11/15/21 21:37,Imported,100,212,TRUE,12/15/21 10:05,R_8oc1McCxx2Gv5MW,email,EN,1,Promoter,10,"The product is ultra reliable , IT offers great flexibility. The online support for updates/ upgrades is well documented.",,,Influencer â€“ Influence what my company buys and oversee implementation of VMware,Yes,,5,6,5,6,Extremely Satisfied  -   7,6,5,6,5,5,,,"Datacenter solutions 

 VMware vSphere, VMware vSAN, VxRail
",,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,"Public Cloud

 VMware Cloud on AWS, Azure, Google, IBM, Oracle or other partner providers
",,,,,,,,,Expand hybrid cloud,,,,,,Business continuity,Maintain with less budget,,I wish to be contacted by VMware to discuss my feedback.,2HFY22,2HFY22,1,SV_eX6YSL8Lzo20kmi,R_1Ln8PD3Q8Ww0DVC,NPS Closed Loop â€“ 2HFY22,CG_UmXz9Ox0Sx8TK2l,EN,EN,EN,APJ,ANZ,AUSTRALIA,,Other,,MDH,,,0,0,0,0,,Consultant,,R_1Ln8PD3Q8Ww0DVC,,1.742058824,0,2HFY22__1,0,,,,"The product is ultra reliable , IT offers great flexibility. The online support for updates/ upgrades is well documented.",,,,,,,,,,
11/10/21 5:15,11/10/21 6:15,Imported,35,32,FALSE,12/15/21 10:05,R_baealDUWAvUQD66,email,DE,1,Promoter,10,,,,Influencer â€“ Influence what my company buys and oversee implementation of VMware,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2HFY22,2HFY22,0,SV_eX6YSL8Lzo20kmi,R_3KT1VO2673mOS5H,NPS Closed Loop â€“ 2HFY22,CG_3J7Qzj4o4CTqSS0,DE,DE,DE,EMEA,CEMEA,GERMANY,,,C2,MDH,,,0,0,0,0,,,,R_3KT1VO2673mOS5H,,0.536990027,0,2HFY22__0,0,,,,,,,,,,,,,,
11/10/21 5:02,11/10/21 5:04,Imported,100,110,TRUE,12/15/21 10:05,R_bfn4E9VepSIOViC,email,PT-BR,0.899999976,Promoter,9,,,,Practitioner â€“ Perform the day-to-day VMware operations for my company,Yes,,3,5,4,6,Extremely Satisfied  -   7,Extremely Satisfied  -   7,5,6,6,5,Extremely Agree  - 7,,"Datacenter solutions 

 VMware vSphere, VMware vSAN, VxRail
",,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expand on-prem,Scale down on-prem,,Remote workforce,Enhance security,,,,,2HFY22,2HFY22,1,SV_eX6YSL8Lzo20kmi,R_237VPT8DHm8rhq3,NPS Closed Loop â€“ 2HFY22,CG_3J7Qzj4o4CTqSS0,PT-BR,PT-BR,PT-BR,EMEA,SEMEA,PORTUGAL,,Government - Local,C2,MDH,,,0,0,0,0,,Other,,R_237VPT8DHm8rhq3,,0.552003728,0,2HFY22__1,0,,,,,,,,,,,,,,
11/10/21 10:23,11/10/21 10:26,Imported,100,143,TRUE,12/15/21 10:05,R_bmcdsXv1Vif0l9A,email,EN,0.899999976,Passive,7,,,,Influencer â€“ Influence what my company buys and oversee implementation of VMware,Yes,,6,6,6,4,6,,6,5,6,6,5,,"Datacenter solutions 

 VMware vSphere, VMware vSAN, VxRail
",,,,,,,,,,Extremely Satisfied  - 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expand hybrid cloud,,Scale down on-prem,,Remote workforce,Enhance security,,,,,2HFY22,2HFY22,1,SV_eX6YSL8Lzo20kmi,R_3dKvurlmFPlJtfD,NPS Closed Loop â€“ 2HFY22,CG_1hSTBytw8era6ar,EN,EN,EN,AMER,NAMERICA,UNITED STATES OF AMERICA,,Education - Primary & Secondary,C2,MDH,,,0,0,0,0,C-2 LEVEL IT,Cio,IT Director,R_3dKvurlmFPlJtfD,,2.77081992,0,2HFY22__1,0,,,,,,,,,,,,,,
11/15/21 21:11,11/15/21 21:13,Imported,100,145,TRUE,12/15/21 10:05,R_br9vx6tzXNE2Hk2,email,EN,0.899999976,Promoter,10,,,,Influencer â€“ Influence what my company buys and oversee implementation of VMware,Yes,,Extremely Satisfied  -   7,Extremely Satisfied  -   7,Extremely Satisfied  -   7,Extremely Satisfied  -   7,Extremely Satisfied  -   7,Extremely Satisfied  -   7,Extremely Agree  - 7,Extremely Agree  - 7,Extremely Agree  - 7,Extremely Agree  - 7,Extremely Agree  - 7,,"Datacenter solutions 

 VMware vSphere, VMware vSAN, VxRail
","Private Cloud

 VMware Cloud Foundation (VCF)
","Public Cloud

 VMware Cloud on AWS, Azure, Google, IBM, Oracle or other partner providers
","Cloud Management

 VMware vRealize portfolio
","Modern Application Platform

	VMware Tanzu portfolio

","Digital Workspace (including VDI)

	Workspace ONE, VMware Horizon

","Networking

	VMware NSX portfolio including Avi

","Security

	VMware Carbon Black portfolio

",,,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I wish to be contacted by VMware to discuss my feedback.,2HFY22,2HFY22,1,SV_eX6YSL8Lzo20kmi,R_vJ47NDZ44AhuKcN,NPS Closed Loop â€“ 2HFY22,CG_UmXz9Ox0Sx8TK2l,EN,EN,EN,APJ,INDIA,SRI LANKA,,Pharmaceutical,C2,MDH,,,0,0,0,0,C LEVEL IT,,IT executive,R_vJ47NDZ44AhuKcN,,0.429202899,0,2HFY22__1,0,,,,,,,,,,,,,,
